FechaProgramacion,Fabrica,Seccion,Linea,Equipo,TiempoPNP
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,294
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,294
